,failure_mode_tm,long_text_notification,clean_text,stop_words_removed,stemmed
382,Worn,09.11.2015 23:01:15 Shaun Rose (ROSES91)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  RP1/2 tips worn.   *  made notification   Define work requirements; including known materials specialist labour special tools that are required:  1 lecky 2 hr 2 X 10858502   *  NIL   *  NIL    ,tips made notification lecky hr nil nil,tips made notification lecky hr nil nil,tip made notif lecki hr nil nil
384,worn,15.12.2015 04:01:11 UTC Jeff Peterson (PETEJX) Phone +61749404942 Replace blower brushes worn   Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):     *     Define work requirements; including known materials specialist labour special tools that are required: 1 x electrian 2 hours 8 X 10366692 (VE7260)   *     *    ,electrian hours,electrian hours,electrian hour
385,worn,21.12.2015 10:45:57 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Extra filters for service.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,extra filters for,extra filters,extra filter
393,Fails,17.02.2016 02:04:04 UTC Mitchell Thorning (THORMC9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Bad retard pedal fault lots of checked realtime analogue inputs and found pedal volts dropping to zero. C/O retard Potentiometer   *     Define work requirements; including known materials specialist labour special tools that are required:  1 x Electrician 2hr 1 x 10831598 Electronic treadle   *     *       17.02.2016 05:25:29 UTC Mitchell Thorning (THORMC9) Changed out retard pot calibrated pedals ok checked on PSC analogue screen ok. Send back to work.,bad retard pedal fault lots of checked realtime analogue inputs and found pedal volts dropping to retard potentiometer electrician electronic treadle utc mitchell thorning changed out retard pot calibrated pedals ok checked on psc analogue screen send back to,bad retard pedal fault lots checked realtime analogue inputs found pedal volts dropping retard potentiometer electrician electronic treadle utc mitchell thorning changed retard pot calibrated pedals ok checked psc analogue screen send back,bad retard pedal fault lot check realtim analogu input found pedal volt drop retard potentiomet electrician electron treadl utc mitchel thorn chang retard pot calibr pedal ok check psc analogu screen send back
396,Worn,04.01.2016 17:46:04 UTC Mitchell Thorning (THORMC9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace worn RP1 tips. Down to copper.   *     Define work requirements; including known materials specialist labour special tools that are required:  1 x Electrician 2 hrs  1 x GE1836 Tip Kit 1 x 58E-43-00280 Pivot Terminal   *     *      ,replace worn down to electrician hrs tip kit pivot terminal,replace worn electrician hrs tip kit pivot terminal,replac worn electrician hrs tip kit pivot termin
403,Fails,24.02.2016 14:57:59 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace retarder pedal potentiometer.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace retarder pedal,replace retarder pedal,replac retard pedal
405,worn,"03.01.2016 05:38:46 UTC Mitchell Thorning (THORMC9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): Grid blower delta fault. checked over grid blower brushes and found that some leading halfs of the brushes loose in the holder. on the """"""""komatsu"""""""" brand brushes the two halfs are not glued together these brushes are the problem.    *     Define work requirements; including known materials specialist labour special tools that are required:  1 x Electrician 3hrs  16 x 10366692 Brush    *     *      ",grid blower delta checked over grid blower brushes and found that some leading halfs of the brushes loose in the on the brand brushes the two halfs are not glued together these brushes are the electrician brush,grid blower delta checked grid blower brushes found leading halfs brushes loose brand brushes two halfs glued together brushes electrician brush,grid blower delta check grid blower brush found lead half brush loos brand brush two half glu togeth brush electrician brush
413,Worn,10.11.2015 06:37:08 Shaun Rose (ROSES91)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  RP2 and GF tips worn.   *  made notification   Define work requirements; including known materials specialist labour special tools that are required:  1 lecky 2 hrs 2 X 10366568 1 X 10858502   *  NIL   *  NIL     22.01.2016 09:43:38 UTC Mitchell Thorning (THORMC9) Refitted RP contactor that was removed to have tips fitted. looked over contactor ok. In future worn RP tips should be changed out immediatley the tips that were removed from this RP were not worn at all suggesting that they may have already been changed. 2 months is a long time for worn RP tips to operate and would most likely lead to failure if not acted upon straight away.,and gf tips made notification lecky hrs nil nil utc mitchell thorning refitted rp contactor that was removed to have tips looked over contactor in future worn rp tips should be changed out immediatley the tips that were removed from this rp were not worn at all suggesting that they may have already been months is long time for worn rp tips to operate and would most likely lead to failure if not acted upon straight,gf tips made notification lecky hrs nil nil utc mitchell thorning refitted rp contactor removed tips looked contactor future worn rp tips changed immediatley tips removed rp worn suggesting may already months long time worn rp tips operate would likely lead failure acted upon straight,gf tip made notif lecki hrs nil nil utc mitchel thorn refit rp contactor remov tip look contactor futur worn rp tip chang immediatley tip remov rp worn suggest may alreadi month long time worn rp tip oper would like lead failur act upon straight
418,Worn,03.02.2016 02:54:51 UTC Robert Finn (FINNR1)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  replace blower motor brushes. one electrician one hour. 2 of 10861228   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace blower motor one electrician one of,replace blower motor one electrician one,replac blower motor one electrician one
419,Worn,02.02.2016 10:56:31 UTC Mitchell Thorning (THORMC9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Inspected RP Tips and found both RP1 2 have old spec movable tips with the new long life tungsten stationarys. Replace both sets of tips and pivots.    *     Define work requirements; including known materials specialist labour special tools that are required:  1 x Electrician 4hrs  2 x 10858502 GE1836 Tip Kit 2 x 10879568 Pivot Terminal   *     *      ,inspected rp tips and found both have old spec movable tips with the new long life tungsten replace both sets of tips and electrician tip kit pivot terminal,inspected rp tips found old spec movable tips new long life tungsten replace sets tips electrician tip kit pivot terminal,inspect rp tip found old spec movabl tip new long life tungsten replac set tip electrician tip kit pivot termin
420,worn,09.02.2016 13:45:32 UTC Shane Rushton (RUSHS)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  8 sercive on RD 27 found 2 x arc shuts required 6 x grid blower brushes    *  Notififcation entered    Define work requirements; including known materials specialist labour special tools that are required:  2 X 10366616 ARC Chute 6 X 10366692 Blower Brushes   *     *    ,sercive on rd found arc shuts required grid blower brushes notififcation entered arc chute blower brushes,sercive rd found arc shuts required grid blower brushes notififcation entered arc chute blower brushes,serciv rd found arc shut requir grid blower brush notififc enter arc chute blower brush
422,worn,09.02.2016 13:45:32 UTC Shane Rushton (RUSHS)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  8 sercive on RD 27 found 2 x arc shuts required 6 x grid blower brushes    *  Notififcation entered    Define work requirements; including known materials specialist labour special tools that are required:  2 X 10366616 ARC Chute 6 X 10366692 Blower Brushes   *     *    ,sercive on rd found arc shuts required grid blower brushes notififcation entered arc chute blower brushes,sercive rd found arc shuts required grid blower brushes notififcation entered arc chute blower brushes,serciv rd found arc shut requir grid blower brush notififc enter arc chute blower brush
425,worn,16.02.2016 13:29:33 UTC Simon Lindsay (LINDSI)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Motor has fallen off pump and pump needs replacing  1 x fitter 6hrs    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,motor has fallen off pump and pump needs replacing fitter,motor fallen pump pump needs replacing fitter,motor fallen pump pump need replac fitter
426,worn,16.02.2016 13:29:33 UTC Simon Lindsay (LINDSI)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Motor has fallen off pump and pump needs replacing  1 x fitter 6hrs    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,motor has fallen off pump and pump needs replacing fitter,motor fallen pump pump needs replacing fitter,motor fallen pump pump need replac fitter
427,Worn,16.02.2016 13:29:33 UTC Simon Lindsay (LINDSI)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Motor has fallen off pump and pump needs replacing  1 x fitter 6hrs    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,motor has fallen off pump and pump needs replacing fitter,motor fallen pump pump needs replacing fitter,motor fallen pump pump need replac fitter
432,Worn,08.01.2016 14:25:11 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace RP2 contact tips next maintenance day.  One HV elec. x 2hrs MN15-E02  4 x 10366621    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace contact tips next maintenance one hv,replace contact tips next maintenance one hv,replac contact tip next mainten one hv
433,Worn,08.01.2016 14:25:11 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace RP2 contact tips next maintenance day.  One HV elec. x 2hrs MN15-E02  4 x 10366621    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace contact tips next maintenance one hv,replace contact tips next maintenance one hv,replac contact tip next mainten one hv
434,worn,22.02.2016 01:23:13 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Extra parts for service.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,extra parts for,extra parts,extra part
435,Failed,31.01.2016 03:48:21 UTC Jeff Peterson (PETEJX) Phone +61749404942  Horn U/S horn module at fault   Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):     *     Define work requirements; including known materials specialist labour special tools that are required: 1 X fitter 1 hour 1 X 10859117 (PC0244)    *     *    ,fitter hour,fitter hour,fitter hour
436,Worn,22.02.2016 01:23:13 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Extra parts for service.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,extra parts for,extra parts,extra part
437,Worn,23.02.2016 02:04:59 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Extra parts for service.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,extra parts for,extra parts,extra part
438,Worn,11.01.2016 22:58:00 UTC Owen Nugent (NUGEO91)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  RP1 tips next service   *  Sub Notif Created   Define work requirements; including known materials specialist labour special tools that are required:  10366621 x 1 Electrician 1 hour   *     *    ,tips next service sub notif created electrician hour,tips next service sub notif created electrician hour,tip next servic sub notif creat electrician hour
441,worn,03.03.2016 03:04:03 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Extra parts for service.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,extra parts for,extra parts,extra part
442,worn,03.03.2016 03:04:03 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Extra parts for service.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,extra parts for,extra parts,extra part
443,damaged,12.04.2016 14:39:21 UTC Ronald Piggott (PIGGR9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  ccLr light not working 1 x elec 4 hrs 1 x 10915551   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *      12.04.2016 14:44:18 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):     *     Define work requirements; including known materials specialist labour special tools that are required:     *     *      ,cclr light not working elec hrs utc corey oliver phone brief description of what occurred basic sequence of events and impacts avoiding the use of personnel define work including known materials specialist labour special tools that are,cclr light working elec hrs utc corey oliver phone brief description occurred basic sequence events impacts avoiding use personnel define work including known materials specialist labour special tools,cclr light work elec hrs utc corey oliv phone brief descript occur basic sequenc event impact avoid use personnel defin work includ known materi specialist labour special tool
444,worn,02.03.2016 02:28:10 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Extra parts for service.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,extra parts for,extra parts,extra part
445,worn,02.03.2016 02:28:10 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Extra parts for service.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,extra parts for,extra parts,extra part
446,Worn,03.03.2016 03:04:03 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Extra parts for service.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,extra parts for,extra parts,extra part
449,Worn,02.03.2016 02:28:10 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Extra parts for service.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,extra parts for,extra parts,extra part
452,worn,07.03.2016 00:55:50 UTC Mitchell Thorning (THORMC9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Alternator brushes worn to minimum. C/O alternator brushes rear track only.   *     Define work requirements; including known materials specialist labour special tools that are required:  1 x Electrician 1hr  6 x 10366693 Brush   *     *      ,alternator brushes worn to alternator brushes rear track electrician brush,alternator brushes worn alternator brushes rear track electrician brush,altern brush worn altern brush rear track electrician brush
456,Worn,07.03.2016 00:47:04 UTC Mitchell Thorning (THORMC9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  RP 1 2 Tips worn out. C/O tips and pivot terminal.   *     Define work requirements; including known materials specialist labour special tools that are required:  2 x 10858502 Tip Kit 2 x 10879568 Pivot Terminal  1 x Electrician 3 hr   *     *      ,rp tips worn tips and pivot tip kit pivot terminal electrician hr,rp tips worn tips pivot tip kit pivot terminal electrician hr,rp tip worn tip pivot tip kit pivot termin electrician hr
457,Failed,09.02.2016 21:04:28 UTC Alistair Donaldson (DONALA9) Phone +61749404699    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Notes from 32 week servic 9/12/2015 identifes that the comms on Blower Motor 1 are badly worn and beyond SRB clean up.    *  Replace at the soonest opportunity   Define work requirements; including known materials specialist labour special tools that are required:  Task list used   *     *    ,notes from week servic identifes that the comms on blower motor are badly worn and beyond srb clean replace at the soonest opportunity task list used,notes week servic identifes comms blower motor badly worn beyond srb clean replace soonest opportunity task list used,note week servic identif comm blower motor bad worn beyond srb clean replac soonest opportun task list use
462,Failed,19.04.2016 02:31:23 UTC Ronald Piggott (PIGGR9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  resistor grid needs replacing burnt terminal 2 x elec 4hrs 1 x 10836841   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *     19.04.2016 03:16:56 UTC Alistair Donaldson (DONALA9) Phone +61749404699 Additional Parts: 1 x 10366610 Insulator 1 x GE0038 Spacer - 10883740 needs to be extended 1 x GE0044 Washer - 10883743 needs to be extended 1 x XA2741 Nut - 10874749 needs to be extended,resistor grid needs replacing burnt terminal elec utc alistair donaldson phone additional insulator spacer needs to be extended washer needs to be extended nut needs to be extended,resistor grid needs replacing burnt terminal elec utc alistair donaldson phone additional insulator spacer needs extended washer needs extended nut needs extended,resistor grid need replac burnt termin elec utc alistair donaldson phone addit insul spacer need extend washer need extend nut need extend
468,Worn,22.02.2016 17:05:32 UTC Shaun Rose (ROSES91)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace RP12 contact tips next defect day   *     Define work requirements; including known materials specialist labour special tools that are required:  1 Lecky 3 hrs 2 x 10858502 2 x 10879568   *  nil   *  nil    ,replace contact tips next defect day lecky hrs nil nil,replace contact tips next defect day lecky hrs nil nil,replac contact tip next defect day lecki hrs nil nil
469,worn,14.03.2016 16:27:41 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Extra parts for midlife.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,extra parts for,extra parts,extra part
471,Worn,29.02.2016 03:09:37 UTC Shaun Rose (ROSES91)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace RP12 contact tips (w4) to be c/o next defect day   *     Define work requirements; including known materials specialist labour special tools that are required:  1 lecky 4 hours 2 x 10858502   *  nil   *  nil    ,replace contact tips to be next defect day lecky hours nil nil,replace contact tips next defect day lecky hours nil nil,replac contact tip next defect day lecki hour nil nil
473,Worn,11.12.2015 13:14:28 UTC Lucas Street (STREL91)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  At 4 week service noted that RP contact tips are showing signs of wear but are servicable.   *  Notification to schedule change out of tips next service.   Define work requirements; including known materials specialist labour special tools that are required:  2 x 10879568 Pivot terminals 2 x 10858502 RP tip kits 1 x HV Elect x 2 hrs   *     *  Can be changed out during the next 8week service  ,at week service noted that rp contact tips are showing signs of wear but are notification to schedule change out of tips next pivot terminals rp tip kits hv elect hrs can be changed out during the next service,week service noted rp contact tips showing signs wear notification schedule change tips next pivot terminals rp tip kits hv elect hrs changed next service,week servic note rp contact tip show sign wear notif schedul chang tip next pivot termin rp tip kit hv elect hrs chang next servic
476,worn,30.03.2016 00:51:27 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Extra parts for service.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,extra parts for,extra parts,extra part
478,Inoperable,03.03.2016 19:25:03 UTC Shaun Rose (ROSES91)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Lems blower pressure switch faulty. Need to change out next service   *     Define work requirements; including known materials specialist labour special tools that are required:  1 lecky 2 hrs 1 x 10915560   *  nil   *  nil    ,lems blower pressure switch need to change out next service lecky hrs nil nil,lems blower pressure switch need change next service lecky hrs nil nil,lem blower pressur switch need chang next servic lecki hrs nil nil
480,Worn,11.04.2016 10:56:14 UTC Robert Finn (FINNR1)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  replace RP contact tips.  one Hv sparky one hour  two of 10858502 two of 10879568    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace rp contact one hv sparky one hour two of two of,replace rp contact one hv sparky one hour two two,replac rp contact one hv sparki one hour two two
482,Failed,18.05.2016 10:35:50 UTC Ronald Piggott (PIGGR9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  forward reverser not working 1 x elect 4 hrs 1 x gear selector 10855529   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,forward reverser not working elect hrs gear selector,forward reverser working elect hrs gear selector,forward revers work elect hrs gear selector
485,Worn,09.02.2016 14:44:19 UTC Rebecca Benoit (COXRE) Phone +6149414948    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace RP2 contact tips  1 x electrician for 2 hours     *     Define work requirements; including known materials specialist labour special tools that are required:     *     *      ,replace contact tips electrician for hours,replace contact tips electrician hours,replac contact tip electrician hour
487,worn,18.04.2016 21:18:31 UTC Bradley Cunneen (CUNEB9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Blower brushes worn and have been replaced.     * replace brushes     Define work requirements; including known materials specialist labour special tools that are required:  8x 10366692 8x 10366617  Parts to go to up10 Store  *     *    ,blower brushes worn and have been replace brushes parts to go to store,blower brushes worn replace brushes parts go store,blower brush worn replac brush part go store
488,Damaged,08.06.2016 17:25:38 UTC Rebecca Benoit (COXRE) Phone +6149414948    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  At approximately 8:00pm on 08/6/2016 RD28 was operating on the R14 SHE33 strip. During operations the operator has noticed sparks coming out of the contactor cabinet on the right side of the truck. No flames were visible.    * Operation of RD28 ceased immediately emergency called scene secured and relevant people notified.     Define work requirements; including known materials specialist labour special tools that are required:     *     *      ,at approximately on was operating on the during operations the operator has noticed sparks coming out of the contactor cabinet on the right side of the no flames were operation of ceased immediately emergency called scene secured and relevant people on was operating on the during operations the operator has noticed sparks coming out of the contactor cabinet on the right side of the no flames were operation of ceased immediately emergency called scene secured and relevant people define work including known materials specialist labour special tools that are,approximately operating operations operator noticed sparks coming contactor cabinet right side flames operation ceased immediately emergency called scene secured relevant people operating operations operator noticed sparks coming contactor cabinet right side flames operation ceased immediately emergency called scene secured relevant people define work including known materials specialist labour special tools,approxim oper oper oper notic spark come contactor cabinet right side flame oper ceas immedi emerg call scene secur relev peopl oper oper oper notic spark come contactor cabinet right side flame oper ceas immedi emerg call scene secur relev peopl defin work includ known materi specialist labour special tool
489,Failed,08.06.2016 17:25:38 UTC Rebecca Benoit (COXRE) Phone +6149414948    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  At approximately 8:00pm on 08/6/2016 RD28 was operating on the R14 SHE33 strip. During operations the operator has noticed sparks coming out of the contactor cabinet on the right side of the truck. No flames were visible.    * Operation of RD28 ceased immediately emergency called scene secured and relevant people notified.     Define work requirements; including known materials specialist labour special tools that are required:     *     *      ,at approximately on was operating on the during operations the operator has noticed sparks coming out of the contactor cabinet on the right side of the no flames were operation of ceased immediately emergency called scene secured and relevant people on was operating on the during operations the operator has noticed sparks coming out of the contactor cabinet on the right side of the no flames were operation of ceased immediately emergency called scene secured and relevant people define work including known materials specialist labour special tools that are,approximately operating operations operator noticed sparks coming contactor cabinet right side flames operation ceased immediately emergency called scene secured relevant people operating operations operator noticed sparks coming contactor cabinet right side flames operation ceased immediately emergency called scene secured relevant people define work including known materials specialist labour special tools,approxim oper oper oper notic spark come contactor cabinet right side flame oper ceas immedi emerg call scene secur relev peopl oper oper oper notic spark come contactor cabinet right side flame oper ceas immedi emerg call scene secur relev peopl defin work includ known materi specialist labour special tool
490,worn,18.04.2016 21:18:31 UTC Bradley Cunneen (CUNEB9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Blower brushes worn and have been replaced.     * replace brushes     Define work requirements; including known materials specialist labour special tools that are required:  8x 10366692 8x 10366617  Parts to go to up10 Store  *     *    ,blower brushes worn and have been replace brushes parts to go to store,blower brushes worn replace brushes parts go store,blower brush worn replac brush part go store
491,Worn,09.02.2016 14:44:19 UTC Rebecca Benoit (COXRE) Phone +6149414948    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace RP2 contact tips  1 x electrician for 2 hours     *     Define work requirements; including known materials specialist labour special tools that are required:     *     *      ,replace contact tips electrician for hours,replace contact tips electrician hours,replac contact tip electrician hour
494,worn,14.06.2016 01:36:19 UTC Bradley Cunneen (CUNEB9)  Change Contactor Tips RD21  Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):Contactor tips found to be worn during service.     * Notification raised     Define work requirements; including known materials specialist labour special tools that are required:  6x 10858502 (GE1836) 1x Sparky 2hrs    *     *    ,contactor tips found to be worn during notification raised sparky,contactor tips found worn notification raised sparky,contactor tip found worn notif rais sparki
495,Worn,09.02.2016 21:04:28 UTC Alistair Donaldson (DONALA9) Phone +61749404699    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Notes from 32 week servic 9/12/2015 identifes that the comms on Blower Motor 1 are badly worn and beyond SRB clean up.    *  Replace at the soonest opportunity   Define work requirements; including known materials specialist labour special tools that are required:  Task list used   *     *    ,notes from week servic identifes that the comms on blower motor are badly worn and beyond srb clean replace at the soonest opportunity task list used,notes week servic identifes comms blower motor badly worn beyond srb clean replace soonest opportunity task list used,note week servic identif comm blower motor bad worn beyond srb clean replac soonest opportun task list use
496,worn,02.05.2016 02:38:28 UTC David Brook Brook (BROOD1)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace grid brushes   *     Define work requirements; including known materials specialist labour special tools that are required:   1x elec fitter 4x 10366695 12x 10366692 1x 10366617 1x 10861227 1x 10366616 1x 10366665    *     *      ,replace grid brushes elec fitter,replace grid brushes elec fitter,replac grid brush elec fitter
502,worn,02.05.2016 02:38:28 UTC David Brook Brook (BROOD1)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace grid brushes   *     Define work requirements; including known materials specialist labour special tools that are required:   1x elec fitter 4x 10366695 12x 10366692 1x 10366617 1x 10861227 1x 10366616 1x 10366665    *     *      ,replace grid brushes elec fitter,replace grid brushes elec fitter,replac grid brush elec fitter
503,worn,02.05.2016 02:38:28 UTC David Brook Brook (BROOD1)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace grid brushes   *     Define work requirements; including known materials specialist labour special tools that are required:   1x elec fitter 4x 10366695 12x 10366692 1x 10366617 1x 10861227 1x 10366616 1x 10366665    *     *      ,replace grid brushes elec fitter,replace grid brushes elec fitter,replac grid brush elec fitter
504,Failed,27.06.2016 23:16:40 UTC Mitchell Thorning (THORMC9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Selector mismatch fault picked up on infield service. Checked data packs and found bot forward and reverse inputs on PTU active together. C/O selector.   *     Define work requirements; including known materials specialist labour special tools that are required:  1 x Electrician 2hr  1 x 10855529 Selector   *     *      ,selector mismatch fault picked up on infield checked data packs and found bot forward and reverse inputs on ptu active electrician selector,selector mismatch fault picked infield checked data packs found bot forward reverse inputs ptu active electrician selector,selector mismatch fault pick infield check data pack found bot forward revers input ptu activ electrician selector
506,Failed,02.07.2016 00:26:16 UTC Simon Lindsay (LINDSI)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): Reported that RD20 has lost propel. Need to chect batteries battery isolator and GE power supply. 1 x electrition 8hrs     *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,reported that has lost need to chect batteries battery isolator and ge power electrition,reported lost need chect batteries battery isolator ge power electrition,report lost need chect batteri batteri isol ge power electrit
508,Failed,17.07.2016 10:43:57 UTC Rebecca Benoit (COXRE) Phone +6149414948 Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names) truck lost propulsion at workshop2 go line.  * 1x electrician 6hrs  Define work requirements; including known materials specialist labour special tools that are required parts unknown  *   *   17.07.2016 18:44:59 UTC Adam Wisley (WISLA9) Phone +61749404942   found RDC to have faild causing propulsion fault. the new rectifier booked from store has been incorrectly assembled and as a result another rectifier needs to be sourced.,utc adam wisley phone found rdc to have faild causing propulsion the new rectifier booked from store has been incorrectly assembled and as result another rectifier needs to be utc adam wisley phone found rdc to have faild causing propulsion the new rectifier booked from store has been incorrectly assembled and as result another rectifier needs to be,utc adam wisley phone found rdc faild causing propulsion new rectifier booked store incorrectly assembled result another rectifier needs utc adam wisley phone found rdc faild causing propulsion new rectifier booked store incorrectly assembled result another rectifier needs,utc adam wisley phone found rdc faild caus propuls new rectifi book store incorrect assembl result anoth rectifi need utc adam wisley phone found rdc faild caus propuls new rectifi book store incorrect assembl result anoth rectifi need
511,worn,09.05.2016 14:41:22 UTC Ronald Piggott (PIGGR9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Rp2 arc chute blown hole needs replacing 1x elect 2 hrs 1x arc chte 10366616   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,arc chute blown hole needs replacing elect hrs arc chte,arc chute blown hole needs replacing elect hrs arc chte,arc chute blown hole need replac elect hrs arc chte
